event_index	event_relative_time	pre_event_signal
1	11.55	-3.4622
2	22.95	1.2132
3	34.45	-1.8997
4	19.3	0.8288
5	109.3	-1.3933
6	25.3	1.7981
7	36.7	3.3077
8	25.6	1.8221
9	45.55	-2.1114
10	48.0	-3.7679
11	22.15	0.902
12	-16.45	7.7211
13	31.05	1.9508
14	31.95	-1.3676
15	54.5	-0.3759
16	27.95	0.4663
17	60.8	3.1957
18	42.2	-3.0637
19	-1.05	2.7514
20	56.0	5.4327
21	43.25	3.6022
22	36.45	-0.643
23	31.15	-1.7163
24	68.4	-1.7301
25	10.05	2.161
26	30.25	-1.9321
27	62.0	0.6476
28	59.7	2.421
29	12.4	-0.4985
30	58.25	-2.2587
31	41.8	-2.9613
32	0.25	4.1411
33	18.1	2.5145
34	26.1	4.1688
35	-12.7	2.5868
36	20.95	-1.0098
37	16.6	2.2923
38	50.75	2.4166
39	-14.35	6.1102
40	28.55	3.8334
41	81.1	8.1559
42	32.0	4.2863
43	66.65	5.2378
44	60.3	-0.6239
45	71.0	5.6754
46	7.55	2.9079
47	93.3	-2.7509
48	71.15	4.552
49	-17.3	1.5491
50	77.6	-2.2854
51	22.9	-4.0534
52	79.3	1.954
53	76.3	0.9913
54	8.9	-0.3608
55	32.2	2.1202
56	23.4	1.5311
57	28.8	1.3921
58	25.95	-0.1701
59	46.7	0.4633
60	2.05	0.8179
61	11.25	4.1848
62	3.35	0.7609
63	37.85	-0.7216
64	63.75	-0.3154
65	25.9	0.6361
66	22.85	2.5892
67	34.3	1.0382
68	50.35	-0.6029
69	28.5	0.385
70	114.2	0.3698
71	8.2	4.8144
72	15.0	3.8887
73	6.55	2.4557
74	19.95	5.7018
75	55.0	-0.9101
76	61.6	1.2027
77	21.05	1.5202
78	92.95	1.0484
79	-3.3	0.6728
80	68.65	1.1138
81	27.95	1.9741
82	12.9	0.8802
83	-6.85	4.1034
84	39.75	0.5271
85	24.45	0.6179
86	38.9	1.0443
87	31.1	-0.5652
88	3.6	0.9166
89	2.4	1.7276
90	31.15	2.1196
91	8.1	1.9
92	33.2	4.7114
93	46.15	0.9752
94	45.35	4.0088
95	-11.2	0.3694
96	20.6	-3.2464
97	53.4	0.7636
98	16.95	-0.5084
99	101.9	-0.8479
100	21.1	-0.3461
101	39.0	0.6468
102	31.6	-1.7414
103	100.4	-0.6552
104	16.4	3.6811
105	78.05	-1.6998
106	20.0	1.5016
107	10.2	3.8712
108	8.15	1.329
109	31.15	-0.8052
110	88.7	0.1253
111	109.05	-0.4008
112	-15.75	2.1316
113	-5.9	-0.7842
114	27.45	1.0396
115	31.2	-1.0668
116	64.05	-0.8456
117	52.7	-3.7656
118	77.6	-0.1306
119	61.25	0.6924
120	14.2	-3.3165
121	37.95	-4.0332
122	30.9	1.1058
123	38.75	0.3573
124	48.7	1.5735
125	0.15	1.744
126	10.5	-0.4821
127	13.9	1.5103
128	38.05	-0.3628
129	42.5	-1.1962
130	81.3	-1.4402
131	-1.1	-0.2279
132	12.85	2.8006
133	85.95	-1.3557
134	20.3	1.9265
135	42.4	0.4564
136	35.15	-1.7826
137	55.9	4.8735
138	8.45	5.2539
139	67.55	-3.4021
140	44.55	-1.3258
141	27.1	2.8387
142	62.5	-2.1538
143	14.3	-1.5213
144	-9.85	3.0789
145	-0.45	-0.3768
146	53.3	-0.7003
147	34.4	0.8957
148	34.65	-0.8336
149	87.9	-0.3311
150	-8.7	2.4975
151	21.15	-0.2577
152	47.6	2.2646
153	22.7	1.1957
154	48.75	4.3513
155	103.8	-2.4629
156	6.35	1.7114
157	7.65	4.8008
158	24.85	2.3103
159	31.6	-0.6549
160	96.7	-0.2275
161	12.7	5.5284
162	93.7	-0.8394
163	27.95	-1.1083
164	42.25	-3.0207
165	-3.3	-1.3521
166	112.75	-11.7134
167	22.75	-7.3038
168	22.65	0.1931
169	-11.2	-0.0094854
170	31.05	-2.5046
171	50.8	-6.3891
172	39.15	-4.1797
173	64.1	-5.205
174	47.4	2.8577
175	5.1	-1.1193
176	78.1	-1.3333
177	2.35	2.2912
178	95.45	-1.7569
179	26.45	-2.6992
180	2.9	3.6255
181	-14.45	5.6364
182	31.05	0.6541
183	63.65	1.1214
184	-1.2	1.4529
185	33.7	1.4205
186	-13.0	-1.2827
187	45.15	-1.6661
188	26.4	2.575
189	-4.15	1.8203
190	-19.3	9.5715
191	35.2	-0.4948
192	8.6	4.4561
193	26.8	1.9038
194	42.9	0.6985
195	86.4	-2.9009
196	35.1	0.2282
197	105.55	-2.89
198	5.55	4.2566
199	-8.2	3.9524
200	22.1	-3.497
201	56.2	4.6307
202	16.55	0.5332
203	-0.2	-1.5267
204	21.4	-0.2436
205	40.9	0.9287
206	0.95	-0.467
207	68.2	-0.5184
208	37.15	1.1851
209	74.95	-2.1817
210	22.95	0.4845
211	118.1	-0.2615
212	-11.9	2.6907
213	11.15	-0.822
214	82.5	-0.278
215	20.7	0.2636
216	52.85	0.2697
217	24.2	-1.05
218	26.9	-4.1025
219	-14.85	4.0848
220	-8.1	4.1076
221	-9.6	-0.9066
222	42.2	-2.3826
223	-13.2	0.9449
224	31.0	-3.6691
225	40.1	-3.4755
226	-18.25	-1.0842
227	17.2	-1.7335
