unit_index	pair_distance	mean_event_latency
1	0.1184	37.1417
2	0.1502	35.7889
3	0.005	39.2071
4	0.1333	59.76
5	0.0333	71.15
6	0.2333	27.7333
7	0.0517	77.8
8	0.1005	8.9
9	0.1001	23.4
10	0.3168	33.6
11	0.0448	30.9542
12	0.0483	33.55
13	0.0503	22.7
14	0.0532	55.4929
15	0.015	31.64
16	0.4335	34.9757
17	0.0362	37.1167
18	0.0343	39.475
19	0.55	38.0364
20	0.3341	5.1
21	0.05	31.8
22	0.0894	28.3357
23	0.2504	26.25
24	0.4833	42.0667
25	0.2509	28.1071
26	0.1006	30.1094
27	0.0111	38.8167
28	0.3005	33.4083
29	0.2334	48.9167
30	0.0501	39.15
31	0.3501	30.2
32	0.2349	20.3893
33	0.3511	29.6031
34	0.2	44.1
35	0.3001	33.3
36	0.118	45.3
37	0.0834	24.34
38	0.5335	31.6111
39	0.4667	39.9958
40	0.7336	21.7558
41	0.0066667	19.2063
