event_index	unit_index	pre_event_signal
1	1	1.2977
2	1	1.2041
3	1	0.7355
4	1	4.7625
5	1	-0.3111
6	1	4.1411
7	1	2.5145
8	1	-0.8303
9	1	0.1232
10	1	4.1688
11	1	-0.434
12	1	0.1727
13	1	1.6447
14	1	2.3973
15	1	2.7282
16	1	0.4715
17	1	1.8708
18	1	0.5618
19	1	0.5096
20	1	1.5384
21	1	-0.0889
22	1	-2.5648
23	1	-2.0664
24	1	0.7325
25	1	1.2133
26	1	-5.3034
27	1	-2.1677
28	1	-2.4097
29	1	-1.7616
30	1	-1.1277
31	1	2.6881
32	1	3.5842
33	1	0.0827
34	1	-2.4854
35	1	0.8203
36	1	-1.7542
37	1	0.0454
38	1	1.7835
39	1	0.5716
1	2	-0.8572
2	2	1.4178
3	2	-1.4625
4	2	-0.0312
5	2	-1.2053
6	2	1.4779
7	2	-1.8901
8	2	0.3197
9	2	1.2095
10	2	-1.4404
11	2	1.4198
12	2	-1.6018
13	2	1.0968
14	2	-0.6598
15	2	-2.4217
16	2	2.3889
17	2	3.2382
18	2	1.0218
19	2	-0.4569
20	2	1.1384
21	2	0.5898
22	2	-1.0893
23	2	-1.0725
24	2	-0.211
25	2	-0.6469
26	2	-2.4181
27	2	0.6622
28	2	-1.9545
29	2	0.2013
30	2	0.4681
31	2	0.5821
32	2	-3.1801
33	2	-1.0555
34	2	-0.784
35	2	-0.4178
36	2	-1.5689
37	2	2.3358
38	2	-0.9349
39	2	-0.162
1	3	0.5438
2	3	1.1252
3	3	0.1153
4	3	2.5868
5	3	-1.7678
6	3	4.8432
7	3	5.5274
8	3	-0.5884
9	3	2.1991
10	3	-1.0098
11	3	-1.4595
12	3	-2.0775
13	3	0.469
14	3	2.2923
15	3	2.4166
16	3	0.1319
17	3	-0.0762
18	3	2.7174
19	3	0.1944
20	3	2.4166
21	3	-2.7251
22	3	6.1102
23	3	-0.6956
24	3	3.8334
25	3	9.0827
26	3	-3.2423
27	3	0.3085
28	3	-1.1183
29	3	-3.2421
30	3	-1.5219
31	3	-1.1991
32	3	8.1559
33	3	-1.3487
34	3	-3.0516
35	3	-0.7937
36	3	-3.4951
37	3	-5.02
38	3	-1.5906
39	3	4.2863
