unit_index	pair_distance	event_latency_sd
1	0.1184	36.1357
2	0.1502	20.7025
3	0.005	22.2029
4	0.1333	31.7211
5	0.0333	0.0
6	0.2333	47.6343
7	0.0517	2.1213
8	0.1005	0.0
9	0.1001	0.0
10	0.3168	28.3015
11	0.0448	31.3174
12	0.0483	7.2082
13	0.0503	20.8897
14	0.0532	37.043
15	0.015	33.1777
16	0.4335	29.735
17	0.0362	32.2751
18	0.0343	36.5547
19	0.55	33.4412
20	0.3341	0.0
21	0.05	44.8669
22	0.0894	31.8699
23	0.2504	28.8862
24	0.4833	47.1598
25	0.2509	34.094
26	0.1006	18.6215
27	0.0111	40.0019
28	0.3005	24.5876
29	0.2334	26.6416
30	0.0501	32.207
31	0.3501	41.1248
32	0.2349	19.6711
33	0.3511	12.6417
34	0.2	20.1641
35	0.3001	11.5144
36	0.118	0.0
37	0.0834	16.742
38	0.5335	16.8671
39	0.4667	33.6213
40	0.7336	16.9364
41	0.0066667	27.2046
