control_ratio	total_magnetic_moment	charge_fluctuation
0	0.750015	0.99998
0.1	0.776639	0.952671
0.2	0.803955	0.909102
0.3	0.832479	0.868182
0.4	0.86281	0.829125
0.5	0.895726	0.791086
0.6	0.93227	0.753329
0.7	0.973499	0.7151
0.8	1.01995	0.676008
0.9	1.07098	0.636268
1	1.12513	0.596439
1.1	1.18074	0.557228
1.2	1.23628	0.519221
1.3	1.29052	0.482867
1.4	1.34256	0.448477
1.5	1.3918	0.416233
1.6	1.4379	0.386212
1.7	1.48069	0.358412
1.8	1.52017	0.332775
1.9	1.55641	0.309204
2	1.58956	0.287579
2.1	1.61983	0.267766
2.2	1.64741	0.249628
2.3	1.67253	0.233028
2.4	1.6954	0.217834
2.5	1.71623	0.203919
2.6	1.7352	0.191167
2.7	1.75251	0.17947
2.8	1.76831	0.168729
2.9	1.78276	0.158855
3	1.79599	0.149765
3.1	1.80811	0.141386
3.2	1.81924	0.133652
3.3	1.82948	0.126503
3.4	1.83891	0.119885
3.5	1.84762	0.11375
3.6	1.85566	0.108056
3.7	1.8631	0.102762
3.8	1.87	0.0978337
3.9	1.8764	0.0932402
4	1.88235	0.0889529
4.5	1.90664	0.0712925
5	1.92419	0.0583296
5.5	1.93726	0.0485612
6	1.94724	0.041031
6.5	1.95503	0.0351106
7	1.96121	0.0303759
7.5	1.96621	0.0265323
8	1.9703	0.0233708
