observation_index	numeric_feature_1	numeric_feature_2	numeric_feature_3
0	0.0	-18.660714285714285	-67.88693237
1	1.0	-18.482142857142858	-75.50408173
2	2.0	-18.303571428571427	-63.53675461
3	3.0	-18.125	-65.88037109
4	4.0	-17.946428571428573	-25.08761978
5	5.0	-17.767857142857142	-23.96716309
6	6.0	-17.589285714285715	-67.85427856
7	7.0	-17.410714285714285	-68.29283142
8	8.0	-17.232142857142858	-73.59500122
9	9.0	-17.053571428571427	-71.27348328
10	10.0	-16.875	-72.48404694
11	11.0	-16.696428571428573	-69.39181519
12	12.0	-16.517857142857142	-67.8840332
13	13.0	-16.339285714285715	-69.50259399
14	14.0	-16.160714285714285	-71.73907471
15	15.0	-15.982142857142858	-70.29849243
16	16.0	-15.803571428571429	-74.31617737
17	17.0	-15.625	-79.49748993
18	18.0	-15.446428571428571	-80.5279007
19	19.0	-15.267857142857142	-68.9485321
20	20.0	-15.089285714285714	-74.82408142
21	21.0	-14.910714285714286	-73.16197968
22	22.0	-14.732142857142858	-81.17089844
23	23.0	-14.553571428571429	-76.96741486
24	24.0	-14.375	-76.52597809
25	25.0	-14.196428571428571	-79.24433899
26	26.0	-14.017857142857142	-77.84555054
27	27.0	-13.839285714285714	-78.66451263
28	28.0	-13.660714285714286	-78.29541779
29	29.0	-13.482142857142858	-81.96556854
30	30.0	-13.303571428571429	-79.16004944
31	31.0	-13.125	-82.32397461
32	32.0	-12.946428571428571	-84.32123566
33	33.0	-12.767857142857142	-85.29174805
34	34.0	-12.589285714285714	-83.0639267
35	35.0	-12.410714285714286	-93.37874603
36	36.0	-12.232142857142858	-83.35488129
37	37.0	-12.053571428571429	-88.8650589
38	38.0	-11.875	-85.0195694
39	39.0	-11.696428571428571	-85.42395782
40	40.0	-11.517857142857142	-85.97054291
41	41.0	-11.339285714285714	-84.85548401
42	42.0	-11.160714285714286	-87.69504547
43	43.0	-10.982142857142858	-90.39370728
44	44.0	-10.803571428571429	-84.85557556
45	45.0	-10.625	-84.82488251
46	46.0	-10.446428571428571	-82.67523193
47	47.0	-10.267857142857142	-93.64559174
48	48.0	-10.089285714285714	-85.84416199
49	49.0	-9.910714285714286	-88.95160675
50	50.0	-9.732142857142858	-87.10546875
51	51.0	-9.553571428571429	-90.87226868
52	52.0	-9.375	-86.19024658
53	53.0	-9.196428571428571	-85.04892731
54	54.0	-9.017857142857142	-88.81668091
55	55.0	-8.839285714285714	-85.20966339
56	56.0	-8.660714285714286	-90.07343292
57	57.0	-8.482142857142858	-87.04882812
58	58.0	-8.303571428571429	-91.40200806
59	59.0	-8.125	-84.42069244
60	60.0	-7.946428571428571	-84.62068939
61	61.0	-7.767857142857143	-93.26113892
62	62.0	-7.589285714285714	-89.38059235
63	63.0	-7.410714285714286	-84.78616333
64	64.0	-7.232142857142857	-93.69221497
65	65.0	-7.053571428571429	-90.29914093
66	66.0	-6.875	-89.83680725
67	67.0	-6.696428571428571	-94.33901215
68	68.0	-6.517857142857143	-90.63711548
69	69.0	-6.339285714285714	-88.82048035
70	70.0	-6.160714285714286	-87.6180954
71	71.0	-5.982142857142857	-94.43479919
72	72.0	-5.803571428571429	-92.41158295
73	73.0	-5.625	-89.34274292
74	74.0	-5.446428571428571	-89.10456085
75	75.0	-5.267857142857143	-89.64814758
76	76.0	-5.089285714285714	-89.36426544
77	77.0	-4.910714285714286	-92.49723053
78	78.0	-4.732142857142857	-90.07331848
79	79.0	-4.553571428571429	-86.9979248
80	80.0	-4.375	-87.52248383
81	81.0	-4.196428571428571	-89.88420105
82	82.0	-4.017857142857143	-95.06880188
83	83.0	-3.8392857142857144	-89.06769562
84	84.0	-3.6607142857142856	-102.0075225
85	85.0	-3.482142857142857	-90.14674377
86	86.0	-3.3035714285714284	-93.57859802
87	87.0	-3.125	-92.81003571
88	88.0	-2.9464285714285716	-91.54187775
89	89.0	-2.767857142857143	-90.47143555
90	90.0	-2.5892857142857144	-94.94633484
91	91.0	-2.4107142857142856	-88.49669647
92	92.0	-2.232142857142857	-92.8303833
93	93.0	-2.0535714285714284	-96.1934967
94	94.0	-1.875	-93.92455292
95	95.0	-1.6964285714285714	-91.49118805
96	96.0	-1.5178571428571428	-95.40094757
97	97.0	-1.3392857142857142	-94.4447403
98	98.0	-1.1607142857142858	-92.514328
99	99.0	-0.9821428571428571	-93.03165436
100	100.0	-0.8035714285714286	-94.31717682
101	101.0	-0.625	-96.62738037
102	102.0	-0.44642857142857145	-94.79614258
103	103.0	-0.26785714285714285	-91.97744751
104	104.0	-0.08928571428571429	-93.85940552
105	105.0	0.08928571428571429	-91.91123962
106	106.0	0.26785714285714285	-90.45649719
107	107.0	0.44642857142857145	-91.86792755
108	108.0	0.625	-93.00058746
109	109.0	0.8035714285714286	-95.00989532
110	110.0	0.9821428571428571	-93.81878662
111	111.0	1.1607142857142858	-94.68388367
112	112.0	1.3392857142857142	-92.90877533
113	113.0	1.5178571428571428	-97.17290497
114	114.0	1.6964285714285714	-93.94489288
115	115.0	1.875	-93.43740082
116	116.0	2.0535714285714284	-93.10220337
117	117.0	2.232142857142857	-94.49157715
118	118.0	2.4107142857142856	-96.86805725
119	119.0	2.5892857142857144	-92.48194122
120	120.0	2.767857142857143	-91.99758911
121	121.0	2.9464285714285716	-93.28206635
122	122.0	3.125	-92.49771881
123	123.0	3.3035714285714284	-94.73880768
124	124.0	3.482142857142857	-97.76029205
125	125.0	3.6607142857142856	-95.09967804
126	126.0	3.8392857142857144	-95.9801178
127	127.0	4.017857142857143	-98.78426361
128	128.0	4.196428571428571	-92.36229706
129	129.0	4.375	-94.48806
130	130.0	4.553571428571429	-97.19282532
131	131.0	4.732142857142857	-93.97109985
132	132.0	4.910714285714286	-97.69273376
133	133.0	5.089285714285714	-94.43973541
134	134.0	5.267857142857143	-94.22879791
135	135.0	5.446428571428571	-95.85973358
136	136.0	5.625	-100.0127716
137	137.0	5.803571428571429	-94.35522461
138	138.0	5.982142857142857	-100.3881301
139	139.0	6.160714285714286	-95.08441925
140	140.0	6.339285714285714	-103.7842178
141	141.0	6.517857142857143	-94.60829926
142	142.0	6.696428571428571	-101.085968
143	143.0	6.875	-95.75930023
144	144.0	7.053571428571429	-100.365776
145	145.0	7.232142857142857	-99.39348602
146	146.0	7.410714285714286	-95.95810699
147	147.0	7.589285714285714	-99.69572449
148	148.0	7.767857142857143	-98.60971069
149	149.0	7.946428571428571	-94.95279694
150	150.0	8.125	-97.06691742
151	151.0	8.303571428571429	-98.84597778
152	152.0	8.482142857142858	-94.09291077
153	153.0	8.660714285714286	-101.6703643
154	154.0	8.839285714285714	-98.8756485
155	155.0	9.017857142857142	-99.07150269
156	156.0	9.196428571428571	-101.1279144
157	157.0	9.375	-99.3693924
158	158.0	9.553571428571429	-97.66283417
159	159.0	9.732142857142858	-104.265335
160	160.0	9.910714285714286	-95.58444214
161	161.0	10.089285714285714	-98.57633209
162	162.0	10.267857142857142	-98.6910553
163	163.0	10.446428571428571	-105.099884
164	164.0	10.625	-102.2498703
165	165.0	10.803571428571429	-110.4916153
166	166.0	10.982142857142858	-97.89468384
167	167.0	11.160714285714286	-99.71939087
168	168.0	11.339285714285714	-96.99623108
169	169.0	11.517857142857142	-97.24906921
170	170.0	11.696428571428571	-105.1645584
171	171.0	11.875	-101.3638229
172	172.0	12.053571428571429	-100.1935806
173	173.0	12.232142857142858	-101.1228637
174	174.0	12.410714285714286	-100.7897644
175	175.0	12.589285714285714	-100.018753
176	176.0	12.767857142857142	-103.4765548
177	177.0	12.946428571428571	-96.1317215
178	178.0	13.125	-100.393753
179	179.0	13.303571428571429	-104.8725051
180	180.0	13.482142857142858	-100.6968765
181	181.0	13.660714285714286	-103.3816299
182	182.0	13.839285714285714	-102.7331314
183	183.0	14.017857142857142	-97.04931641
184	184.0	14.196428571428571	-104.72229
185	185.0	14.375	-109.3832931
186	186.0	14.553571428571429	-102.3209915
187	187.0	14.732142857142858	-54.84310913
188	188.0	14.910714285714286	-46.22961807
189	189.0	15.089285714285714	-50.14633942
190	190.0	15.267857142857142	-44.71210861
191	191.0	15.446428571428571	-49.14834213
192	192.0	15.625	-55.34358215
193	193.0	15.803571428571429	-37.5015831
194	194.0	15.982142857142858	-70.84397888
195	195.0	16.160714285714285	-55.55586624
196	196.0	16.339285714285715	-47.19984055
197	197.0	16.517857142857142	-69.41842651
198	198.0	16.696428571428573	-75.4115448
199	199.0	16.875	-65.72959137
200	200.0	17.053571428571427	-51.79560852
201	201.0	17.232142857142858	-50.29341125
202	202.0	17.410714285714285	-57.06000519
203	203.0	17.589285714285715	-73.65126801
204	204.0	17.767857142857142	-78.9595871
205	205.0	17.946428571428573	-78.75040436
206	206.0	18.125	-76.35105133
207	207.0	18.303571428571427	-75.88405609
208	208.0	18.482142857142858	-77.87553406
209	209.0	18.660714285714285	-73.8936615
