control_b	reference_frequency	forecast_frequency
2.6	17.7734375	17.578125
2.65	17.578125	17.578125
2.7	17.1875	17.1875
2.75	16.796875	16.796875
2.799999999999999	16.40625	16.40625
2.849999999999999	15.8203125	16.015625
2.899999999999999	15.234375	15.4296875
2.949999999999999	14.6484375	14.84375
2.999999999999999	14.0625	14.2578125
3.049999999999998	13.4765625	13.671875
3.099999999999998	12.890625	12.890625
3.149999999999998	12.3046875	12.3046875
3.199999999999998	11.5234375	11.71875
3.249999999999998	10.9375	10.9375
3.299999999999998	10.15625	10.3515625
3.349999999999997	9.5703125	9.5703125
